package_name,declared_requirement,version,dependency_type,parent_dependency,ecosystem,cve_id,severity,cvss_score,epss,kev,fixed_version,published,imported_in_files,import_count,max_criticality,reachability_score,criticality_score,severity_score,exploitability_score,final_risk_score,risk_category
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-g3rq-g295-4j3m,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-gmj6-6f8f-6699,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-h5c8-rqwp-cp95,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-h75v-3vvj-5mfj,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-hj2j-77xm-mc5v,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-q2x7-8rv6-6q7h,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,PYSEC-2014-8,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,PYSEC-2014-82,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,PYSEC-2019-217,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,PYSEC-2019-220,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,PYSEC-2021-66,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
gunicorn,gunicorn==21.2.0,21.2.0,direct,,PyPI,GHSA-32pc-xphx-q4f6,Medium,,,False,,,[],0.0,1.0,2,2,5.0,3.0,34.0,Low
